scientific_name,Bryce National Park,Great Smoky Mountains National Park,Yellowstone National Park,Yosemite National Park
Agelaius phoeniceus,97,83,250,155
Ageratina altissima,94,64,254,178
Ageratina altissima var. altissima,120,81,249,152
Ageratina altissima var. roanensis,96,63,249,139
Ageratina aromatica var. aromatica,110,84,205,117
Ageratina occidentalis,89,74,246,146
Agkistrodon contortrix mokasen,101,43,212,152
Agoseris aurantiaca,111,81,241,146
Agoseris elata,114,68,239,130
Agoseris glauca var. dasycephala,114,93,257,154
Agoseris glauca var. glauca,100,62,280,169
Agoseris glauca var. laciniata,120,43,290,146
Agoseris glauca var. monticola,61,40,245,138
Agoseris grandiflora,107,68,221,181
Agoseris heterophylla,120,92,277,147
Agoseris lackschewitzii,94,46,263,138
Agoseris retrorsa,124,84,280,118
Agrimonia gryposepala,80,67,232,145
Agrimonia microcarpa,101,80,254,126
Agrimonia parviflora,105,78,232,168
Agrimonia pubescens,117,93,238,154
Agrimonia rostellata,101,116,249,148
Agrostemma githago,92,134,260,186
Agrostis capillaris,208,181,508,322
Agrostis elliottiana,74,72,235,163
Agrostis exarata,105,93,241,116
Agrostis gigantea,220,150,488,276
Agrostis humilis,108,115,250,179
Agrostis hyemalis,64,59,255,152
Agrostis idahoensis,91,42,249,144
Agrostis mertensii,162,141,522,263
Agrostis oregonensis,87,74,300,139
Agrostis pallens,77,50,240,163
Agrostis perennans,134,89,236,151
Agrostis rossiae,107,95,250,192
Agrostis scabra,178,139,500,332
Agrostis scabra var. scabra,92,74,260,125
Agrostis stolonifera,182,183,550,278
Agrostis thurberiana,105,39,244,154
Agrostis variabilis,196,153,510,382
Ailanthus altissima,73,82,273,148
Aimophila aestivalis,94,49,228,146
Aimophila ruficeps,82,51,238,166
Aira caryophyllea,96,64,222,150
Aix sponsa,95,77,278,152
Ajuga reptans,91,60,226,155
Albizia julibrissin,71,54,243,148
Alcea rosea,108,73,291,128
Alces alces,101,44,197,161
Alces alces shirasi,81,83,245,168
Alectoris chukar,229,180,534,287
Aletris farinosa,79,85,216,170
Alisma plantago-aquatica,97,64,290,140
Alisma subcordatum,86,69,226,159
Alisma triviale,87,69,273,174
Alliaria petiolata,99,70,240,150
Allium ampeloprasum,121,70,244,139
Allium amplectens,96,112,239,167
Allium bisceptrum var. bisceptrum,105,68,276,145
Allium brandegeei,104,62,239,170
Allium brevistylum,110,118,263,168
Allium burdickii,98,90,223,150
Allium campanulatum,136,84,234,166
Allium canadense,90,71,266,172
Allium cernuum,112,90,236,146
Allium cernuum var. cernuum,112,64,225,143
Allium geyeri var. tenerum,73,84,237,137
Allium hyalinum,106,88,245,140
Allium obtusum,127,81,230,157
Allium obtusum var. conspicuum,113,85,244,119
Allium obtusum var. obtusum,108,97,262,130
Allium schoenoprasum,95,71,248,143
Allium textile,105,87,260,181
Allium tribracteatum,125,66,230,135
Allium tricoccum,104,66,300,184
Allium validum,117,54,227,159
Allium vineale,78,66,258,166
Allium yosemitense,98,79,226,139
Allophyllum divaricatum,83,57,205,130
Allophyllum gilioides ssp. gilioides,55,54,231,162
Allophyllum gilioides ssp. violaceum,127,39,275,129
Allophyllum integrifolium,114,89,266,134
Allotropa virgata,94,44,226,151
Alnus incana ssp. tenuifolia,115,78,231,148
Alnus rhombifolia,106,63,228,168
Alnus serrulata,81,89,234,167
Alopecurus aequalis,73,59,256,154
Alopecurus arundinaceus,76,100,259,109
Alopecurus borealis,94,53,230,141
Alopecurus carolinianus,140,71,255,158
Alopecurus pratensis,130,45,270,149
Alyssum alyssoides,86,60,235,130
Alyssum desertorum,106,96,262,142
Amaranthus albus,268,145,446,270
Amaranthus blitoides,98,64,228,168
Amaranthus californicus,82,103,274,108
Amaranthus hybridus,128,65,221,163
Amaranthus retroflexus,181,107,478,269
Amaranthus spinosus,93,90,245,152
Ambloplites rupestris,95,92,220,121
Amblystegium serpens,112,49,251,123
Amblystegium varium,74,64,274,152
Ambrosia artemisiifolia,129,139,442,281
Ambrosia bidentata,108,90,254,124
Ambrosia psilostachya,90,69,248,186
Ambrosia trifida,91,46,279,123
Ambystoma maculatum,92,51,233,163
Ambystoma mavortium melanostictum,84,79,287,157
Ambystoma opacum,115,78,301,167
Ambystoma talpoideum,105,82,254,105
Ameiurus melas,100,82,265,154
Ameiurus natalis,105,95,240,156
Amelanchier alnifolia var. alnifolia,136,65,267,150
Amelanchier alnifolia var. pumila,130,59,274,120
Amelanchier arborea,87,63,240,141
Amelanchier canadensis,71,89,253,168
Amelanchier laevis,96,53,263,200
Amelanchier sanguinea,113,67,242,157
Amelanchier utahensis,111,66,242,134
Amianthium muscitoxicum,121,90,270,120
Ammannia coccinea,81,76,286,159
Ammodramus henslowii,102,28,236,149
Ammodramus leconteii,81,86,213,137
Ammodramus savannarum,97,58,241,124
Ammoselinum butleri,112,86,283,179
Amorpha fruticosa,126,52,258,181
Amorpha georgiana,116,38,242,147
Amorpha glabra,98,80,265,157
Ampelopsis arborea,88,69,256,152
Ampelopsis cordata,110,67,237,118
Amphicarpaea bracteata,156,106,264,187
Amphidium mougeotii,74,73,255,161
Amphispiza bilineata,89,83,239,130
Amsinckia lycopsoides,92,74,208,153
Amsinckia menziesii,121,93,221,151
Amsinckia menziesii var. intermedia,125,59,284,192
Amsinckia menziesii var. menziesii,87,50,277,159
Amsonia tabernaemontana var. tabernaemontana,91,97,282,181
Anacamptodon splachnoides,126,93,259,157
Anagallis arvensis,214,161,490,296
Anagallis minima,118,80,253,128
Anaphalis margaritacea,134,57,247,133
Anas acuta,86,61,248,105
Anas americana,88,98,224,157
Anas clypeata,91,82,269,153
Anas crecca,72,60,269,152
Anas cyanoptera,94,75,244,104
Anas discors,107,68,260,190
Anas penelope,74,99,257,112
Anas platyrhynchos,103,66,253,161
Anas rubripes,87,81,273,153
Anas strepera,139,84,198,148
Anastrophyllum helleranum,115,69,233,160
Anastrophyllum michauxii,93,87,219,139
Anastrophyllum minutum,112,97,211,131
Anastrophyllum saxicola,86,78,259,168
Anaxyrus boreas boreas,66,57,257,137
Anaxyrus boreas halophilus,115,69,258,154
Anaxyrus canorus,43,30,114,87
Andreaea rothii,93,124,276,124
Andreaea rupestris,96,62,243,124
Andropogon gerardii,126,28,271,145
Andropogon glomeratus,65,82,264,135
Andropogon gyrans var. gyrans,111,90,245,164
Andropogon ternarius,103,79,217,136
Andropogon virginicus,52,67,224,147
Andropogon virginicus var. virginicus,44,35,231,175
Androsace filiformis,116,87,265,150
Androsace occidentalis,77,50,248,120
Androsace septentrionalis ssp. subumbellata,122,87,266,136
Aneides lugubris,99,71,271,153
Anelsonia eurycarpa,113,60,268,113
Anemone drummondii,81,119,257,136
Anemone lancifolia,52,73,273,147
Anemone occidentalis,90,82,264,148
Anemone parviflora,110,75,259,144
Anemone patens var. multifida,118,94,222,155
Anemone quinquefolia,85,46,237,123
Anemone tetonensis,125,70,239,101
Anemone virginiana,96,88,221,145
Aneura pinguis,126,89,251,163
Angelica arguta,120,50,253,120
Angelica atropurpurea,101,79,278,165
Angelica breweri,84,91,243,164
Angelica lineariloba,117,78,284,189
Angelica pinnata,109,53,248,147
Angelica roseana,109,57,215,161
Angelica triquinata,84,65,258,145
Angelica venenosa,97,60,278,170
Anoectangium aestivum,134,83,254,169
Anolis carolinensis carolinensis,111,102,257,156
Anomobryum filiforme,116,63,211,150
Anomodon attenuatus,133,107,235,199
Anomodon minor,63,65,286,167
Anomodon rostratus,113,68,247,108
Anomodon rugelii,95,89,276,188
Anomodon viticulosus,110,79,230,174
Anser albifrons,83,76,221,162
Antennaria anaphaloides,122,81,234,158
Antennaria argentea,84,53,249,148
Antennaria aromatica,74,66,256,125
Antennaria corymbosa,110,53,250,142
Antennaria dimorpha,95,59,259,125
Antennaria flagellaris,92,80,264,182
Antennaria lanata,99,80,287,159
Antennaria luzuloides,104,51,252,173
Antennaria media,139,80,265,180
Antennaria microphylla,103,94,283,173
Antennaria neglecta,113,85,221,150
Antennaria parlinii ssp. fallax,68,86,212,149
Antennaria parvifolia,98,68,249,149
Antennaria plantaginifolia,131,43,241,141
Antennaria pulcherrima,99,69,268,161
Antennaria racemosa,83,70,250,183
Antennaria rosea,109,59,259,144
Antennaria rosea ssp. confinis,93,43,255,159
Antennaria solitaria,123,122,228,112
Antennaria umbrinella,100,89,280,152
Anthemis arvensis,98,82,249,152
Anthemis cotula,206,166,509,332
Anthemis tinctoria,116,79,270,139
Anthoxanthum odoratum,116,60,250,141
Anthriscus caucalis,100,83,238,174
Anthus rubescens,213,201,478,309
Anthus spinoletta,93,41,241,152
Antilocapra americana,98,119,262,148
Antrozous pallidus,67,61,244,134
Apalone spinifera spinifera,84,108,263,158
Apera interrupta,93,50,209,183
Aphanes microcarpa,86,49,228,166
Aphanorrhegma serratum,94,42,263,151
Aphelocoma californica,73,61,278,133
Apios americana,93,45,278,129
Aplectrum hyemale,109,88,240,150
Aplodinotus grunniens,109,97,275,160
Aplodontia rufa californica,78,57,251,151
Apocynum androsaemifolium,175,210,520,326
Apocynum cannabinum,202,145,532,318
Apocynum cannabinum var. cannabinum,115,68,262,138
Apometzgeria pubescens,95,68,272,173
Aquila chrysaetos,101,65,183,120
Aquilegia canadensis,95,80,257,160
Aquilegia coerulea,134,69,231,178
Aquilegia flavescens,102,94,236,170
Aquilegia formosa,112,58,234,135
Aquilegia pubescens,120,49,261,175
Aquilegia vulgaris,127,123,253,155
Arabidopsis thaliana,204,165,465,288
Arabis X divaricarpa,80,50,205,127
Arabis canadensis,126,27,257,79
Arabis davidsonii,103,96,279,109
Arabis drummondii,110,85,230,93
Arabis glabra var. glabra,89,38,272,130
Arabis hirsuta var. glabrata,80,37,248,146
Arabis hirsuta var. pycnocarpa,71,92,251,203
Arabis holboellii var. pendulocarpa,116,81,259,174
Arabis holboellii var. pinetorum,135,66,271,160
Arabis holboellii var. retrofracta,98,59,229,196
Arabis inyoensis,99,45,236,156
Arabis laevigata,105,50,266,171
Arabis laevigata var. burkii,78,87,213,153
Arabis laevigata var. laevigata,99,72,237,134
Arabis lemmonii var. depauperata,102,67,259,127
Arabis lemmonii var. lemmonii,68,62,255,141
Arabis lyallii var. lyallii,61,70,263,174
Arabis lyallii var. nubigena,109,84,254,167
Arabis lyrata,81,81,250,133
Arabis patens,117,62,256,138
Arabis platysperma var. howellii,95,39,267,135
Arabis platysperma var. platysperma,84,70,258,135
Arabis rectissima var. rectissima,73,57,261,183
Arabis repanda var. greenei,132,78,245,144
Arabis repanda var. repanda,89,91,282,114
Arabis sparsiflora var. arcuata,95,109,260,109
Aralia californica,44,102,241,200
Aralia nudicaulis,102,55,286,171
Aralia racemosa,120,58,219,175
Aralia spinosa,90,68,277,176
Arceuthobium abietinum,120,77,258,171
Arceuthobium americanum,96,82,232,164
Arceuthobium californicum,121,66,269,154
Arceuthobium campylopodum,106,62,260,172
Arceuthobium cyanocarpum,126,40,270,138
Arceuthobium occidentale,136,81,257,161
Archilochus alexandri,70,72,246,129
Archilochus colubris,143,81,273,147
Arctium lappa,85,86,240,142
Arctium minus,208,139,489,324
Arctoa fulvella,131,62,246,142
Arctostaphylos nevadensis,92,82,244,176
Arctostaphylos uva-ursi,123,53,237,154
Arctostaphylos viscida ssp. mariposa,109,93,256,150
Arctostaphylos viscida ssp. viscida,116,86,211,151
Ardea alba,67,70,255,138
Ardea albus,129,91,250,142
Ardea herodias,100,92,199,161
Arenaria aculeata,121,68,230,140
Arenaria congesta var. subcongesta,103,90,230,148
Arenaria congesta var. suffrutescens,83,76,264,125
Arenaria interpres,94,66,216,105
Arenaria serpyllifolia,133,161,446,313
Argentina anserina,100,102,274,167
Arisaema dracontium,94,73,200,135
Arisaema triphyllum ssp. quinatum,115,103,259,193
Arisaema triphyllum ssp. triphyllum,77,19,232,132
Aristida dichotoma var. dichotoma,98,83,236,192
Aristida divaricata,111,65,298,183
Aristida oligantha,123,115,267,164
Aristida purpurascens,65,48,250,121
Aristida purpurea var. longiseta,127,77,284,159
Aristolochia macrophylla,125,63,278,133
Aristolochia serpentaria,82,66,271,160
Arnica amplexicaulis,95,50,250,141
Arnica chamissonis ssp. foliosa,148,65,251,145
Arnica cordifolia,68,98,237,183
Arnica discoidea,121,64,245,153
Arnica fulgens,61,77,274,172
Arnica latifolia,109,77,263,171
Arnica longifolia,90,72,262,137
Arnica mollis,115,62,229,152
Arnica nevadensis,90,73,239,111
Arnica parryi,106,76,295,149
Arnica parryi ssp. sonnei,92,63,222,154
Arnica rydbergii,129,88,250,162
Arnica sororia,88,116,233,143
Arnoglossum atriplicifolium,88,86,233,145
Arnoglossum muehlenbergii,74,75,261,175
Aronia X prunifolia,100,86,229,161
Aronia arbutifolia,110,59,225,172
Aronia melanocarpa,119,33,231,157
Arrhenatherum elatius,90,63,241,156
Arrhenatherum elatius var. elatius,115,58,224,139
Artemisia abrotanum,113,66,245,132
Artemisia absinthium,89,94,211,141
Artemisia arbuscula ssp. arbuscula,110,83,238,219
Artemisia biennis var. biennis,50,68,252,148
Artemisia cana ssp. bolanderi,144,99,288,153
Artemisia douglasiana,85,34,231,146
Artemisia dracunculus,101,39,232,129
Artemisia frigida,105,51,246,136
Artemisia ludoviciana ssp. incompta,97,102,241,132
Artemisia ludoviciana ssp. mexicana,74,35,224,150
Artemisia michauxiana,116,121,270,150
Artemisia norvegica ssp. saxatilis,121,94,226,157
Artemisia nova,60,83,265,155
Artemisia rothrockii,88,118,269,163
Artemisia scopulorum,100,92,255,195
Artemisia spiciformis,96,79,216,141
Artemisia tridentata ssp. tridentata,93,52,234,133
Artemisia tridentata ssp. vaseyana,104,67,223,161
Artemisia tridentata var. tridentata,88,72,274,137
Artemisia vulgaris,122,86,264,121
Artemisiospiza belli,96,101,256,188
Artemisiospiza nevadensis,104,102,246,141
Arthraxon hispidus,88,57,249,158
Aruncus dioicus,116,61,240,171
Arundinaria gigantea ssp. gigantea,84,93,230,177
Arundo donax,60,75,239,129
Asarum canadense,102,99,227,140
Asarum hartwegii,78,53,229,134
Asarum lemmonii,80,100,281,131
Asclepias amplexicaulis,80,77,243,142
Asclepias californica,139,112,247,133
Asclepias cordifolia,86,82,283,151
Asclepias exaltata,83,56,283,150
Asclepias fascicularis,104,86,235,194
Asclepias incarnata ssp. incarnata,111,81,232,155
Asclepias incarnata ssp. pulchra,87,67,233,149
Asclepias quadrifolia,81,83,242,179
Asclepias speciosa,93,62,278,140
Asclepias syriaca,106,78,273,139
Asclepias tuberosa,102,84,205,137
Asclepias variegata,91,80,265,142
Asclepias verticillata,109,39,245,166
Asimina triloba,92,100,231,193
Asio flammeus,82,45,225,105
Asio otus,94,56,253,151
Asparagus officinalis,202,146,486,337
Asperugo procumbens,119,88,236,180
Aspidoscelis tigris munda,83,36,214,123
Aspidotis californica,98,58,241,139
Aspidotis densa,133,76,306,134
Asplenium montanum,63,49,224,164
Asplenium pinnatifidum,80,93,249,145
Asplenium platyneuron,100,74,267,136
Asplenium resiliens,85,67,249,154
Asplenium rhizophyllum,104,69,261,157
Asplenium ruta-muraria,99,97,264,126
Asplenium trichomanes ssp. trichomanes,98,62,234,177
Aster ascendens,74,114,268,120
Aster eatonii,89,58,234,167
Aster foliaceus var. parryi,82,106,281,174
Aster integrifolius,99,73,236,122
Aster occidentalis var. occidentalis,83,98,223,140
Aster occidentalis var. yosemitanus,56,71,258,114
Aster patens var. patens,104,86,230,132
Aster retroflexus,102,100,245,181
Aster tataricus,88,37,252,182
Astilbe biternata,119,101,239,157
Astomum muehlenbergianum,109,115,274,146
Astragalus agrestis,93,74,236,151
Astragalus alpinus,99,82,252,156
Astragalus americanus,107,89,211,174
Astragalus australis var. glabriusculus,115,68,237,144
Astragalus bolanderi,106,75,266,140
Astragalus canadensis,87,98,229,151
Astragalus canadensis var. brevidens,106,90,227,158
Astragalus cibarius,85,94,246,153
Astragalus cicer,119,87,249,149
Astragalus congdonii,121,89,230,189
Astragalus crassicarpus var. paysonii,85,45,257,167
Astragalus drummondii,74,79,230,153
Astragalus gilviflorus var. gilviflorus,103,42,279,130
Astragalus inflexus,116,83,253,132
Astragalus kentrophyta var. danaus,108,65,231,158
Astragalus kentrophyta var. tegetarius,72,57,259,148
Astragalus laxmannii var. robustior,124,63,261,140
Astragalus lentiginosus var. ineptus,133,42,254,153
Astragalus lotiflorus,56,83,269,133
Astragalus miser var. hylophilus,82,76,252,169
Astragalus miser var. praeteritus,109,78,270,166
Astragalus missouriensis,95,82,257,130
Astragalus purshii var. lectulus,111,44,238,149
Astragalus purshii var. purshii,115,95,235,156
Astragalus vexilliflexus var. vexilliflexus,95,53,218,157
Astragalus whitneyi var. whitneyi,105,61,264,136
Athene cunicularia,110,93,229,131
Athyrium alpestre var. americanum,106,33,237,125
Athyrium filix-femina,84,69,231,143
Athyrium filix-femina ssp. asplenioides,84,73,276,151
Athyrium filix-femina var. cyclosorum,89,47,263,100
Athysanus pusillus,139,44,257,151
Atrichum altecristatum,102,88,259,158
Atrichum angustatum,124,49,235,154
Atrichum crispum,138,84,252,140
Atrichum oerstedianum,105,74,244,176
Atrichum undulatum,76,103,243,175
Atriplex argentea,83,80,242,169
Atriplex canescens var. canescens,67,69,241,138
Atriplex hortensis,111,93,225,176
Atriplex patula,91,96,214,151
Atriplex rosea,129,57,257,164
Atriplex subspicata,107,69,201,158
Aulacomnium heterostichum,91,72,275,131
Aulacomnium palustre,87,61,230,145
Aureolaria flava,82,59,230,143
Aureolaria laevigata,63,95,244,156
Aureolaria pectinata,105,72,249,156
Aureolaria pedicularia,95,86,275,163
Aureolaria virginica,72,52,243,131
Avena barbata,68,61,252,118
Avena fatua,129,67,260,117
Avena sativa,303,171,453,318
Aythya affinis,98,115,224,144
Aythya americana,108,115,304,64
Aythya collaris,125,103,230,195
Aythya marila,91,101,200,149
Aythya valisineria,106,84,250,159
Baccharis pilularis,70,86,262,189
Baeolophus bicolor,92,86,294,134
Baeolophus inornatus,97,100,261,169
Balsamorhiza deltoidea,133,51,270,121
Balsamorhiza macrolepis,79,88,247,145
Balsamorhiza sagittata,76,96,271,151
Baptisia tinctoria,97,52,214,137
Barbarea orthoceras,106,89,282,168
Barbarea verna,114,91,277,166
Barbarea vulgaris,186,150,494,323
Barbilophozia attenuata,112,70,247,101
Barbula convoluta,111,67,259,137
Barbula unguiculata,113,58,248,169
Bartonia paniculata,84,60,281,165
Bartonia paniculata ssp. paniculata,115,92,230,146
Bartonia virginica,77,80,265,133
Bartramia longicauda,102,78,238,131
Bartramia pomiformis,93,104,209,128
Bassariscus astutus,96,76,214,134
Bassia hyssopifolia,99,76,270,156
Batrachoseps diabolicus,80,86,282,155
Batrachoseps gregarius,102,39,248,119
Bazzania denudata,102,79,252,126
Bazzania nudicaulis,135,108,268,134
Bazzania tricrenata,92,70,265,144
Bazzania trilobata,89,84,244,172
Beckmannia syzigachne,81,92,269,155
Belamcanda chinensis,58,76,249,140
Berberis canadensis,81,74,255,156
Berberis thunbergii,127,52,201,156
Berberis vulgaris,108,83,231,144
Berteroa incana,105,83,242,154
Besseya wyomingensis,93,93,205,137
Betula alleghaniensis var. alleghaniensis,103,74,251,165
Betula glandulosa,93,66,238,183
Betula lenta,90,92,243,160
Betula nigra,106,42,281,141
Betula occidentalis,112,85,263,165
Betula papyrifera var. cordifolia,107,39,216,148
Betula pendula,99,70,249,131
Bidens aristosa,111,57,251,123
Bidens bipinnata,93,121,273,146
Bidens cernua,230,129,488,352
Bidens frondosa,121,70,229,137
Bidens tripartita,264,176,602,254
Bidens vulgata,102,50,297,149
Bignonia capreolata,101,70,250,148
Bison bison,121,117,270,192
Blarina brevicauda,77,86,244,185
Blasia pusilla,100,110,263,145
Blepharostoma trichophyllum,120,93,252,147
Blephilia hirsuta,85,77,255,185
Blindia acuta,87,86,218,149
Boechera lemmonii,95,51,256,131
Boehmeria cylindrica,84,125,264,177
Bolandra californica,80,87,243,162
Bombycilla cedrorum,84,79,235,134
Bombycilla garrulus,102,62,281,169
Bonasa umbellus,90,80,259,198
Bos bison,68,77,269,128
Bos taurus,99,56,235,124
Botaurus lentiginosus,74,94,225,120
Botrychium ascendens,102,30,196,149
Botrychium biternatum,94,50,212,131
Botrychium dissectum,126,144,253,156
Botrychium jenmanii,90,66,229,131
Botrychium lanceolatum,132,90,266,119
Botrychium lanceolatum var. angustisegmentum,97,23,221,148
Botrychium matricariifolium,99,60,271,127
Botrychium minganense,109,82,241,126
Botrychium multifidum,154,71,275,148
Botrychium oneidense,126,64,260,158
Botrychium simplex,227,151,516,280
Botrychium virginianum,160,143,464,297
Bouteloua gracilis,102,92,267,137
Boykinia aconitifolia,97,77,262,150
Boykinia major,105,78,234,150
Brachydontium trichodes,149,59,233,141
Brachyelytrum erectum,107,86,258,160
Brachyelytrum septentrionale,84,91,247,137
Brachythecium acuminatum,96,93,273,117
Brachythecium digastrum,103,88,256,159
Brachythecium oedipodium,98,40,231,167
Brachythecium oxycladon,61,63,199,149
Brachythecium plumosum,86,92,281,156
Brachythecium rivulare,52,67,229,143
Brachythecium rutabulum,156,57,221,153
Brachythecium salebrosum,116,92,256,139
Branta bernicla,226,150,487,276
Branta canadensis,134,110,242,145
Branta hutchinsii,108,139,297,191
Brasenia schreberi,94,19,235,172
Brassica juncea,123,62,250,141
Brassica kaber,92,116,233,150
Brassica napus,88,83,270,123
Brassica nigra,88,83,257,180
Brassica rapa,188,180,540,338
Brickellia californica,108,80,236,112
Brickellia eupatorioides var. eupatorioides,126,88,265,135
Brickellia grandiflora,99,63,265,175
Briza minor,87,71,259,209
Brodiaea elegans ssp. elegans,75,56,236,156
Bromus anomalus,77,77,248,159
Bromus arenarius,137,64,213,149
Bromus carinatus,91,51,243,139
Bromus catharticus,127,72,263,152
Bromus ciliatus,91,72,255,124
Bromus commutatus,106,66,242,170
Bromus diandrus,90,52,252,124
Bromus grandis,100,111,223,147
Bromus hordeaceus,93,83,238,156
Bromus hordeaceus ssp. hordeaceus,125,94,226,189
Bromus inermis,86,86,247,148
Bromus inermis ssp. inermis,65,73,257,174
Bromus inermis var. inermis,118,85,270,164
Bromus inermis var. pumpellianus,85,43,267,134
Bromus japonicus,155,178,491,328
Bromus kalmii,89,60,250,156
Bromus laevipes,107,56,223,138
Bromus latiglumis,73,97,245,104
Bromus orcuttianus,92,74,249,159
Bromus pubescens,100,91,234,183
Bromus racemosus,134,66,278,121
Bromus secalinus,214,157,531,295
Bromus sterilis,83,67,251,140
Bromus suksdorfii,56,53,243,125
Bromus tectorum,224,91,526,257
Bromus vulgaris,130,86,255,145
Brothera leana,111,91,277,154
Brotherella recurvans,134,84,242,152
Broussonetia papyrifera,93,67,233,145
Bryhnia graminicolor,111,73,277,130
Bryhnia novae-angliae,87,76,237,170
Bryoandersonia illecebra,93,65,271,114
Bryohaplocladium microphyllum,81,74,249,166
Bryohaplocladium virginianum,104,83,226,133
Bryum argenteum,62,86,288,140
Bryum capillare,96,107,266,142
Bryum dichotomum,91,115,229,148
Bryum gemmiparum,80,44,251,172
Bryum lisae,155,72,232,142
Bryum lisae var. cuspidatum,112,72,228,155
Bryum pallens,103,59,268,138
Bryum pseudotriquetrum,122,84,279,156
Bubo scandiacus,98,114,245,125
Bubo virginianus,105,79,294,139
Bubulcus ibis,164,49,256,171
Bucephala albeola,87,84,244,161
Bucephala clangula,78,53,252,182
Bucephala islandica,111,66,269,139
Buchnera americana,119,94,218,148
Buckleya distichophylla,63,64,212,135
Buddleja davidii,99,23,242,165
Bufo americanus americanus,63,59,254,119
Bufo fowleri,115,76,240,142
Bufo woodhousii,89,53,231,153
Buglossoides arvensis,108,79,278,163
Bulbostylis capillaris,180,157,536,320
Bupleurum americanum,115,83,230,134
Bupleurum rotundifolium,83,65,272,122
Buteo jamaicensis,86,106,229,178
Buteo lagopus,97,69,242,139
Buteo lineatus,85,31,224,109
Buteo platypterus,93,107,269,134
Buteo regalis,120,80,271,153
Buteo swainsoni,129,59,261,137
Butorides virescens,186,183,522,340
Buxbaumia aphylla,76,83,241,142
Buxus sempervirens,125,65,265,148
Cacalia atriplicifolia,69,113,267,120
Cacalia muhlenbergii,75,115,295,160
Calamagrostis breweri,96,57,232,159
Calamagrostis cainii,126,49,260,146
Calamagrostis canadensis,167,184,513,298
Calamagrostis cinnoides,107,61,257,113
Calamagrostis coarctata,110,98,250,146
Calamagrostis purpurascens,109,85,247,134
Calamagrostis rubescens,96,71,229,126
Calamagrostis stricta,132,65,241,138
Calamagrostis stricta ssp. inexpansa,64,64,259,179
Calamintha nepeta,106,90,268,130
Calamospiza melanocorys,113,44,233,135
Calandrinia ciliata,104,106,240,174
Calcarius lapponicus,91,104,246,95
Calcarius mccownii,108,51,204,153
